,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
123,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
124,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
125,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
126,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
127,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
128,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
129,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
130,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
131,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
132,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
133,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
134,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
135,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
136,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
137,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
138,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
139,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
140,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
141,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
142,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
